首字母,词条,文献,
,,"2009，林晓照.晚清“美术”概念的早期输入[J].学术研究,2009(12):93-101.",
,,"2012，林晓照.“美术”殖产:清末的“美术”形象[J].学术研究,2012(01):118-125.",
,,"2012，林晓照.清末新学语“美术”与“艺术”之差异——以王国维、严复为中心的讨论[J].美术学报,2012(05):66-72.",
,,"2015，董炳月.“文章为美术之一”——鲁迅早年的美术观与相关问题[J].文学评论,2015(04):21-30.",
,,"2015，易晓浪.论中国近代三十年“美术”概念的引入[J].六盘水师范学院学报,2015,27(03):55-60.",
,,2016，彭卿. 中国现代“美术”观念的形成及其演变—1895-1924年的“美术”观念[D].中国美术学院博士论文,
,,"2017，彭修银.王国维的“美术”义界及其“日本因缘”[J].西北师大学报(社会科学版),2017,54(01):50-56.",
,,"2018，谈晟广.王国维与现代中国“美术”观念的起源[J].文艺研究,2018(07):117-129.",
,,"2018，衣国媛.梁启超《东籍月旦》中“美术”的发端性意义考[J].美与时代(中),2018,No.757(07):15-16.",
,,"2021，狄霞晨.作为文学的“美术”——美术与中国现代文学观念的生成[J].中国比较文学,2021(02):153-167.",
,,2021，李冰楠. 中国近代“美术”概念史研究[D].武汉大学硕士论文,
,,"2022，穆琛.近代中国设计类相关课程名称变化背后的思想管窥——“工艺”“美术”“艺术”辞义考[J].装饰,2022(06):142-144.",
,美学,1984，李泽厚，中国美学史，中国社会科学出版社,
,,"2000，黄兴涛.“美学”一词及西方美学在中国的最早传播——近代中国新名词源流漫考之三[J].文史知识,2000(01):75-84.",
,,"2009，鄂霞,王确.美学关键词“崇高”的生成和流变[J].文艺争鸣,2009,No.166(11):32-37.",
,,"2009，聂长顺.近代Aesthetics一词的汉译历程[J].武汉大学学报(人文科学版),2009,62(06):649-653.",
,,"2010，王宏超.中国现代辞书中的“美学”——“美学”术语的译介与传播[J].学术月刊,2010,42(07):100-108.",
,,"2011，韩书堂.中日近代美学学科生成源流考——兼论王国维美学新学语的来源[J].理论学刊,2011,No.205(03):114-118+128.",
,,"2015，秦肯.流动的“人民”——以清末民初杨度为中心的观念史考察[J].华夏传播研究,2023(01):110-120.",
,,2016，冯天瑜等著，近代汉字术语的生成演变与中西日文化互动研究，经济科学出版社,
,,"2017，吴泽泉.“美学”概念传播过程中的几个重要问题[J].文化创新比较研究,2017,1(05):1-6.",
,,"2018，贺昌盛.现代中国“美学”学科的确立——从“词章”到“美术/美学”[J].中国文学批评,2018,No.14(02):17-23+157.",
,,"2020，王确.汉字的力量——作为学科命名的“美学”概念的跨际旅行[J].文学评论,2020(04):33-39.",
,,2021，冯天瑜、聂长顺，三十个关键词的文化史，中国社会科学出版社,
,,"2021，王确.中日交流史中作为学科命名的“美学”概念[J].美学与艺术评论,2021(02)，29-54+251-252.",
,,"2022，李庆本.“美学”译名考[J].文学评论,2022(06):5-13.",
,美育,"2020，吴泽泉.从“教育”到“美育”——20世纪初“美育”概念的一条重要演进路径[J].中国文学批评,2020(04):58-65+156.",
,,"2023，李燕.中国现代美育的发生及其流变[J].西北师大学报(社会科学版),2023,60(02):90-98",
,梦精,2015，杉本つとむ，江戸時代翻訳語の世界，八坂書房,
,迷惑,2011，近藤明、邢叶青，「迷惑」の意味変化 : 虎明本狂言から四迷・漱石まで，金沢大学人間社会学域学校教育学類紀要3，124-116,
,,2012，張愚，本邦文献に見られる漢語「迷惑」の受容 : 上代から中世前期までの用例を中心に，文献探究50号，61-71,
,,2012，張愚，日本における漢語「迷惑」の変容，日本語学会2012年度秋季大会予稿集，127-134,
,,2013，張愚，困惑の気持ちを表す感情語彙の意味分析 : 漢語「迷惑」と和語「マヨフ」「マドフ」の接触を例として，国語国文学研究48号，52-65,
,,2013，欒竹民，漢語の意味変化についてーー「迷惑」の続貂ーー，広島国際研究19卷，67-79,
,,2014，近藤明，「迷惑」の意味変化追補：松井利彦氏・横川澄枝氏の論との関連から，金沢大学人間社会学域学校教育学類紀要第6号，148(21)-141(28),
,,2021，張愚，構文的特徴と意味の相関性からみた漢語「迷惑」の変容，訓点語と訓点資料147辑，30-58,
,迷信,2009，金观涛、刘青峰，观念史研究：中国现代重要政治术语的形成，法律出版社,
,民本主义,"2018，闾小波.“民本主义”之输入与意涵之回归[J].学海,2018(05):51-58.",
,民德,"2017，周新顺.“民气”“民智”“民德”:重返晚清国民性问题讨论的话语现场——以《东方杂志》为考察中心[J].东岳论丛,2017,38(11):17-24.",
,民度,2012，陳贇，「民度」――和製漢語としての可能性，関西大学東西学術研究所紀要，45，279-296,
,民气,"2017，周新顺.“民气”“民智”“民德”:重返晚清国民性问题讨论的话语现场——以《东方杂志》为考察中心[J].东岳论丛,2017,38(11):17-24.",
,民权,"1984，熊月之.论戊戌时期梁启超的民权思想——兼论梁启超与康有为思想的歧异[J].苏州大学学报,1984(03):102-109.",
,,2002，韩英军. 中国近代民权观的演变及分析[D].首都师范大学硕士论文,
,,"2003，刘远靖.中国近代民主观念与民权理念的演变——从梁启超、谭嗣同到孙中山[J].江西省团校学报,2003(03):41-43.",
,,"2003，王人博.民权词义考论[J].比较法研究,2003(01):5-25.",
,,"2005，俞江.戊戌变法时期的“民权”概念[J].法律文化研究,2005(00):165-174.",
,,2006，冯洁. 从“民主”到“民权”[D].华东师范大学硕士论文,
,,2007，野村浩一，近代中国の政治文化―民権・立憲・皇権，岩波書店,
,,"2007，张丽清,刘霞.个人正当权利理论在近代中国的嬗变——以民权、人权概念运演为例[J].社会科学论坛(学术研究卷),2007(06):4-9.",
,,"2009，江素斌.中国近代民权观念的演变[J].宜春学院学报,2009,31(S1):13-14.",
,,2009，金观涛、刘青峰，观念史研究：中国现代重要政治术语的形成，法律出版社,
,,"2012，何卓恩.“民本”与“民主”之间的晚清“民权”观念[J].贵州社会科学,2012,No.265(01):114-119.",
,,"2012，许晓光.试论福泽谕吉的近代民权观[J].史学月刊,2012(07):89-95.",
,,2012，张小猛. 福泽谕吉与梁启超民权思想的比较[D].东北师范大学硕士论文,
,,2013，孟宪东. 中国近代民权思想研究[D].辽宁师范大学硕士论文,
,,2013，徐媛媛. 中国近代民权观的演变及其启示[D].山西师范大学硕士论文,
,,2015，孫建軍，近代日本語の起源ー幕末明治初期につくられた新漢語ー，早稲田大学出版部,
,,"2015，肖梦黎.民权话语于中国之流变考论[J].江苏师范大学学报(哲学社会科学版),2015,41(02):113-117.",
,,"2015，余金刚.中国近代化语境下的“民权”概念考[J].探索与争鸣,2015(03):73-78.",
,,"2015，赵小波.近代中国“民权”内涵演变考论:从维新到革命的话语转换[J].法学家,2015(02):140-154+179-180.",
,,2017，罗晓丹. 中国近代民权观研究[D].江西师范大学硕士论文,
,,"2017，褚宸舸.中国近代民主观念脉络的再审视——兼论“民权”概念起源[J].山东科技大学学报(社会科学版),2017,19(01):19-26+35.",
,,"2017，邹小站.清末民初思想话语中的“民权”与“国权”[J].社会科学辑刊,2017(06):156-164.",
,,2018，黄崔溢. 梁启超民权观念流变考[D].西南政法大学硕士论文,
,,"2020，王新雅.中国近代民权观念的发生与传播[J].理论与现代化,2020(06):60-68.",
,,"2021，贾小叶.戊戌时期梁启超民权话语的思想逻辑[J].中山大学学报(社会科学版),2021,61(05):81-93.",
,,"2021，张春林.清末民初“民权”与“国权”之争论及变奏解析[J].福建论坛(人文社会科学版),2021(07):128-141.",
,民俗,"2002，钟少华.试论民俗学科词语概念的近代阐述[J].民俗研究,2002(04):5-18.",
,,"2010，王晓葵.“风俗”概念的近代嬗变[J].文化遗产,2010(03):129-138.",
,,2016，冯天瑜等著，近代汉字术语的生成演变与中西日文化互动研究，经济科学出版社,
,,"2022，岩本通弥,吴薇.“民俗”概念考[J].遗产,2022(01):49-99.",
,民俗学,"2010，彭恒礼.“民俗学”入华考——兼谈近代辞典对学科术语的强化作用[J].民俗研究,2010(03):253-261.",
,,"2010，彭恒礼.中国近代学术社团与学科术语的生成——以“民俗学”学科术语地位的确立为例[J].人文论丛,2010(00):50-59.",
,,2016，冯天瑜等著，近代汉字术语的生成演变与中西日文化互动研究，经济科学出版社,
,,"2016，王晓葵.中国“民俗学”的发现——一个概念史的探求[J].华东师范大学学报(哲学社会科学版),2016,48(04):114-121+171.",
,,"2022，岩本通弥,吴薇.“民俗”概念考[J].遗产,2022(01):49-99.",
,民政,2009，金观涛、刘青峰，观念史研究：中国现代重要政治术语的形成，法律出版社,
,,"2020，顾春.中国近代“民主”“民政”概念的生成[J].人文论丛,2020,33(01):376-387.",
,,"2021，郭思成.清末“民政”概念演变与制度建制(1901—1906)[J].学术研究,2021(05):136-142+178.",
,民智,"2017，周新顺.“民气”“民智”“民德”:重返晚清国民性问题讨论的话语现场——以《东方杂志》为考察中心[J].东岳论丛,2017,38(11):17-24.",
,民众,2003，李博（Wolfgang Lippert）著赵倩等译，汉语中的马克思主义术语的起源与作用，中国社会科学出版社,
,民主,1986，熊月之，中国近代民主思想史. 上海人民出版社,
,,"2001，狭间直树,何培忠. 对中国近代“民主”与“共和”观念的考察[C]//.辛亥革命与20世纪的中国——纪念辛亥革命九十周年国际学术讨论会论文集（下）.,2001:77-92.",
,,2006，冯洁. 从“民主”到“民权”[D].华东师范大学硕士论文,
,,"2007，徐时仪.“民主”的成词及其词义内涵考——兼论西学新词对中国思想文化和社会发展的影响[J].上海师范大学学报(哲学社会科学版),2007(04):126-132.DOI:10.13852/j.cnki.jshnu.2007.04.018.",
,,"2008，川尻文彦,“民主”与democmcy——中日之间的概念关联与中国近代思想,孙江主编:新史学第二卷 概念•文本•方法，中华书局",
,,2009，金观涛、刘青峰，观念史研究：中国现代重要政治术语的形成，法律出版社,
,,2011，闾小波，近代中国民主观念之生成与流变——一项观念史的考察，江苏人民出版社出版,
,,"2011，孙大坤.十九世纪中国对于“民主”概念的接受[J].河南理工大学学报(社会科学版),2011,12(04):398-402.",
,,2012，熊月之，自由、民主、总统：晚清中国几个政治词汇的翻译与使用，载[德]郎宓榭 [德] 阿梅龙 [德] 顾有信 著 赵兴胜译《新词语新概念：西学译介与晚清汉语词汇之变迁》，济南：山东画报出版社，75-96,
,,"2017，褚宸舸.中国近代民主观念脉络的再审视——兼论“民权”概念起源[J].山东科技大学学报(社会科学版),2017,19(01):19-26+35.",
,,2018，方维规，概念的历史分量——近代中国思想的概念史研究，北京大学出版社,
,,2018，全丹晨. 从比较词源学看晚清两部译作中“自由”、“平等”、“民主”及相关概念的译介[D].北京交通大学硕士论文,
,,2019，陳力衛，近代知の翻訳と伝播―漢語を媒介に，三省堂,
,,2019，陈力卫，东来东往，近代中日之间的词语概念，社会科学文献出版社,
,,"2019，张丽婷.历史时空视域下的《共产党宣言》“民主”汉译概念史研究[J].重庆电子工程职业学院学报,2019,28(01):22-27.",
,,"2020，顾春.中国近代“民主”“民政”概念的生成[J].人文论丛,2020,33(01):376-387.",
,,2021，冯天瑜、聂长顺，三十个关键词的文化史，中国社会科学出版社,
,,2021，李宏坤. 晚清至民初“民主”“共和”观念的演进与共和危机的形成[D].河南大学硕士论文,
,民主革命,"2016，曹龙虎.“民主革命”界说:一项基于近代中国情境的概念史考察[J].中共党史研究,2016,No.216(06):32-43.",
,,"2019，张健彪.“民主革命”概念的近代生成及意蕴转化[J].高校马克思主义理论研究,2019,5(02):62-69.",
,民主主义,2015，杉本つとむ，江戸時代翻訳語の世界，八坂書房,
,民主主义与教育,"2019，冯加渔.民主的多重面向:杜威Democracy and Education中文译名的世纪流变[J].华东师范大学学报(教育科学版),2019,37(02):29-36.",
,民族,"1963，林耀华.关于“民族”一词的使用和译名的问题[J].历史研究,1963(02):171-190.",
,,"1981，金天明 ,王庆仁.“民族”一词在我国的出现及其使用问题[J].社会科学辑刊,1981(04):89-94.",
,,"1984，韩锦春,李毅夫.汉文“民族”一词的出现及其初期使用情况[J].民族研究,1984(02):36-43.",
,,"1984，彭英明.中国近代谁先用“民族”一词?[J].社会科学辑刊,1984(02):13.",
,,"2000，马戎.关于“民族”定义[J].云南民族学院学报(哲学社会科学版),2000(01):5-13.",
,,"2001，茹莹.汉语“民族”一词在我国的最早出现[J].世界民族,2001(06):1.",
,,"2002，黄兴涛.“民族”一词究竟何时在中文里出现?[J].浙江学刊,2002(01):168-170.",
,,2003，王柯，“民族”，一个来自日本的误会，二十一世纪，2003（6）：73-83,
,,"2004，郝时远.中文“民族”一词源流考辨[J].民族研究,2004(06):60-69+109.",
,,"2008，周毅,谢卫.晚清西方“国家”和“民族”概念的译介及其对陈独秀早期思想形成的影响[J].四川师范大学学报(社会科学版),2008(04):89-93.",
,,"2009，高永久,秦伟江.“民族”概念的演变[J].南开学报(哲学社会科学版),2009(06):126-136.",
,,2009，金观涛、刘青峰，观念史研究：中国现代重要政治术语的形成，法律出版社,
,,"2009，叶江.“Nation”(民族)概念辨析[J].上海师范大学学报(哲学社会科学版),2009,38(02):60-65.",
,,"2011，黄兴涛.清末现代“民族”概念形成小考[J].人文杂志,2011(04):140-144.",
,,"2012，刘劲聪.日本人“民族”概念的形成——近代日本学者相关研究考察[J].广东外语外贸大学学报,2012,23(06):61-65.",
,,"2015，陈永亮.近年来日本关于“民族”概念使用及相关争论的思考[J].云南民族大学学报(哲学社会科学版),2015,32(03):5-9.",
,,"2016，井凯笛.历史与回归:“民族”一词的起源与内涵[J].云南民族大学学报(哲学社会科学版),2016,33(02):25-29.",
,,"2016，王烨.西方民族概念引入近代中国源流考[J].赤峰学院学报(汉文哲学社会科学版),2016,37(11):37-40.",
,,"2017，杨须爱.马克思主义经典作家“民族”概念及其语境考辨——兼论“民族”概念的汉译及中国化[J].民族研究,2017(05):1-16+123.",
,,2018，方维规，概念的历史分量——近代中国思想的概念史研究，北京大学出版社,
,,"2020，牛玲玲.“民族问题”概念的起源与流变（1837—1922年）[J].贵州民族研究,2020,41(12):16-26.",
,,"2020，郑大华.中国近代民族主义话语下的“民族”“种族”和“国族”[J].史学月刊,2020(08):5-8.",
,,"2022，董灏智.日本明治前期知识界接受西方“民族”概念的思想远因——以“日本优越论”为核心[J].清华大学学报(哲学社会科学版),2022,37(05):147-156+212.",
,,"2022，何明,王仲黎.中文语境中“民族”概念的形成与演化[J].广西民族大学学报(哲学社会科学版),2022,44(05):35-42.",
,,"2023，郭声波.中国国情视阈下两种“民族”概念辨析[Z].江汉论坛,2023(3):125-128.",
,民族解放,"2021，程莎莎,周游.“民族解放”概念在近代中国的生成与初步使用研究[J].民族研究,2021(05):114-123+142.",
,民族问题,"2020，牛玲玲.“民族问题”概念的起源与流变（1837—1922年）[J].贵州民族研究,2020,41(12):16-26.",
,民族主义,2004，胡涤非. 近代中国政治变迁中的民族主义[D].复旦大学博士论文,
,,2007，刘杰. 孙中山政治民族主义思想研究[D].中央民族大学博士论文,
,,2009，金观涛、刘青峰，观念史研究：中国现代重要政治术语的形成，法律出版社,
,,2010，吴皓. 中国近代民族主义城市规划思潮的历史研究[D].武汉理工大学硕士论文,
,,"2013，吴之声.论章太炎“民族主义”概念的形成及其演变[J].赤子(中旬),2013(09):26-27.",
,,2016，王喆娟. 民族主义思潮与马克思主义的民族理论[D].西南政法大学硕士论文,
,,2017，刘宇星. 梁启超与章太炎民族主义思想比较研究[D].南京信息工程大学硕士论文,
,,2019，李春燕. 孙中山政治民族主义思想的演变研究[D].燕山大学硕士论文,
,,2019，马红邑. 19世纪民族主义的两种转向[D].山东大学博士论文,
,名理,"2024，张逸婧.“名理”格义：亚里士多德逻辑学早期汉译探源[J].国际汉学,2024,(02):98-104+158-159.",
,名学,"2021，甘进.从“名家”到“名学家”——近代学术分科中“名学”和“名学家”之名的生成[J].湖南科技大学学报(社会科学版),2021,24(03):39-45.",
,名学家,"2021，甘进.从“名家”到“名学家”——近代学术分科中“名学”和“名学家”之名的生成[J].湖南科技大学学报(社会科学版),2021,24(03):39-45.",
,母音,2018，阿久津智，「音韻」に関する語誌的研究，立教大学博士論文,
,摩擦,2021，崔蕭寒「 「摩擦」の語史─日中両語の相互影響─」、大阪大学大学院文学研究科修士論文,
,墨水,2015，杉本つとむ，江戸時代翻訳語の世界，八坂書房,
N,,,
,奶酪,2015，杉本つとむ，江戸時代翻訳語の世界，八坂書房,
,南洋,"2024，郭卫东.新世界观的形成：东、西、南、北洋的概念流变[J].清史研究,2024(01):10-24.",
,脑筋,2021，冯天瑜、聂长顺，三十个关键词的文化史，中国社会科学出版社,
,内外,"2020，山際彰，内外（前後），日本語学39巻2号，明治書院，54-57	",
,能率,"2013，王广超.物理学名词moment中文译名之创制及变迁[J].自然科学史研究,2013,32(02):214-226.",
,,"2024，刘世琴.英译名“能率”在中日间的创制及互动[J].日语学习与研究,2024(02):52-62.",
,泥敷剂,2015，杉本つとむ，江戸時代翻訳語の世界，八坂書房,
,年金,"2023，邓牧,马俏楚.经济术语“年金“”养老金”在中日两国的互动与流变[J].日语学习与研究,2023(06):95-106.",
,尿道,2015，杉本つとむ，江戸時代翻訳語の世界，八坂書房,
,尿管,2023，何华珍 丁鑫美，近現代中日漢字詞源流考述，汉语史研究集刊（第三十四辑），四川大学出版社，198-211,
,牛痘,"2018，缪蓬.医学概念系统的“跨语际”旅行——19世纪初牛痘接种术在我国本土的传播与接受[J].山东外语教学,2018,39(06):33-39.",
,牛津,2015，田野村忠温，意訳地名「牛津」「剣橋」の発生と消長，大阪大学大学院文学研究科紀要. 55 P.81-P.137,
,,2018，荒川清秀，日中漢語の生成と交流・受容 : 漢語語基の意味と造語力，白帝社,
,,2023，田野村忠温，近代日中新語の諸相，和泉書院,
,牛奶,2015，杉本つとむ，江戸時代翻訳語の世界，八坂書房,
,农民,2003，李博（Wolfgang Lippert）著赵倩等译，汉语中的马克思主义术语的起源与作用，中国社会科学出版社,
,农奴,2019，陈力卫，“农奴”概念的诞生及其运用，孙江主编：亚洲概念史研究（第5卷），商务印书馆，55-73,
,,"2020，陳力衛，｢農奴」概念の成立と展開，成城大學經濟研究,(230),159-186",
,农学,"2012，王先明,李尹蒂.从“农政”到“农学”——以晚清“经世文编”为中心的历史考察[J].福建论坛(人文社会科学版),2012(06):60-66.",
,农政,"2012，王先明,李尹蒂.从“农政”到“农学”——以晚清“经世文编”为中心的历史考察[J].福建论坛(人文社会科学版),2012(06):60-66.",
,奴隶,"2003，郭双林,龙国存.“国民”与“奴隶”——对清末社会变迁过程中一组中坚概念的历史考察[J].中国文化研究,2003(01):123-134",
,努力,2006，田中牧郎，『努力する』の定着と『つとめる』の意味変化―『太陽コーパス』を用いて― 日本語辞書学の構築 223-238 ,
,女权,"2005，须藤瑞代.近代中国的女权概念[J].山西师大学报(社会科学版),2005(01):137-142.",
,,"2020，翟晗.国家想象之镜：中国近代“女权”概念的另一面[J].政法论坛,2020,38(04):110-119.",
,,"2021，姚溪,向天渊.女权主义·女性主义·“田园女权”——“Feminism”中文译名的百年演变与衍生[J].重庆社会科学,2021,No.316(03):117-128.",
,,"2023，张俊丽.近代在华英文报刊中的“女权”和“女权主义”概念考——对中国女性主义研究中两个流行观点的质疑[J].江西师范大学学报(哲学社会科学版),2023,56(04):128-136.",
,女权主义,"2021，姚溪,向天渊.女权主义·女性主义·“田园女权”——“Feminism”中文译名的百年演变与衍生[J].重庆社会科学,2021,No.316(03):117-128.",
,,"2023，张俊丽.近代在华英文报刊中的“女权”和“女权主义”概念考——对中国女性主义研究中两个流行观点的质疑[J].江西师范大学学报(哲学社会科学版),2023,56(04):128-136.",
,女性主义,"2021，姚溪,向天渊.女权主义·女性主义·“田园女权”——“Feminism”中文译名的百年演变与衍生[J].重庆社会科学,2021,No.316(03):117-128.",
,,"2023，栾荷莎.女性主义术语的概念演变与汉译历程[J].哈尔滨工业大学学报(社会科学版),2023,25(04):110-116.",
,,2023，内藤叶子著，杨力译，女性主义，亚洲概念史研究第11卷，商务印书馆，234-253,
O,,,
,,,
P,,,
,判然,2021，徐衛，漢語「判然」の用法に関する考察，韓国日本語学会第43・44回国際学術発表大会予稿集，29-29,
,炮眼,2023，何华珍 丁鑫美，近現代中日漢字詞源流考述，汉语史研究集刊（第三十四辑），四川大学出版社，198-211,
,陪审,"2006，陈伟.并非“陪审”的陪审团制度[J].书屋,2006(09):19-24.",
,,"2009，胡兆云.晚清以来Jury、Juror汉译考察与辨误[J].外语与外语教学,2009(01):46-50.",
,,"2010，段晓彦,俞荣根.“陪审”一词的西来与中译[J].法学家,2010(01):40-53+177.",
,,2010，沈国威，近代中日词汇交流研究，中华书局,
,,"2012，屈文生.早期英文法律词语的汉译研究——以19世纪中叶前后若干传教士著译书为考察对象[J].中国翻译,2012,33(01):40-46+122.",
,,"2013，刘锡秋.论陪审制度的概念[J].社会科学论坛,2013(02):47-56.",
,,2015，廖敏. 以“jury”的译介浅析清末法律翻译对法律移植的影响[D].华东政法大学硕士论文,
,,"2017，丁相顺.中日“民众参与司法裁判”的表达与比较[J].中国应用法学,2017(03):153-166.",
,,2020，沈国威，新语往还——中日近代语言交涉史，社会科学文献出版社,
,啤酒,2015，杉本つとむ，江戸時代翻訳語の世界，八坂書房,
,,2021，田野村忠温「「啤酒」の謎の解─この不可解な名称の成立過程─」沈国威・奥村佳代子編，内田慶市教授退職記念論文集 文化交渉と言語接触，、東方書店pp.165-178,
,,2023，田野村忠温，近代日中新語の諸相，和泉書院,
,贫农,2003，李博（Wolfgang Lippert）著赵倩等译，汉语中的马克思主义术语的起源与作用，中国社会科学出版社,
,贫血,"2021，権宇琦，医学用語「貧血」について，立教大学日本語研究,27,119-144",
,,2022，権宇琦，日中語彙交流の視点からみる近代和製医学用語の受容と交替，拓殖大学博士論文,
,平等,2009，金观涛、刘青峰，观念史研究：中国现代重要政治术语的形成，法律出版社,
,,2015，邱伟云，中国近代平等观念的形成（1895-1915），台北：新文丰出版公司,
,,2018，胡新祥，中日近代新漢語についての研究－仏教由来漢語を中心に，立教大学博士論文,
,,2018，全丹晨. 从比较词源学看晚清两部译作中“自由”、“平等”、“民主”及相关概念的译介[D].北京交通大学硕士论文,
,平行,2009，金观涛、刘青峰，观念史研究：中国现代重要政治术语的形成，法律出版社,
,平准,2009，金观涛、刘青峰，观念史研究：中国现代重要政治术语的形成，法律出版社,
,破产,"2012，史洪智.古今转换与中外对接:近代“破产”概念的形成[J].近代史学刊,2012(00):36-54.",
,葡萄牙,"2021，杨帅可.从“波爾杜瓦爾”到“葡萄牙”——Portugal国名译词的演变考析[J].亚洲与世界,2021(00):118-130.",
,,"2023，沈和.国名译词“葡萄牙”的演变与确立[J].太原师范学院学报(社会科学版),2023,22(01):58-68.",
,普遍,2018，胡新祥，中日近代新漢語についての研究－仏教由来漢語を中心に，立教大学博士論文,
,普及,2018，胡新祥，中日近代新漢語についての研究－仏教由来漢語を中心に，立教大学博士論文,
,普通,2018，胡新祥，中日近代新漢語についての研究－仏教由来漢語を中心に，立教大学博士論文,
,,2018，黄河清，“普通”考，或問No.34，17-20,
,,2019，陳力衛，近代知の翻訳と伝播―漢語を媒介に，三省堂,
,,"2022，李雪敏.现代汉语中的日源词新探——以“可能”“普通”为例[J].汉字文化,2022,No.301(03):129-131.",
Q,,,
,七曜,2022，徐克伟，兰学与汉学之间：江户幕府翻译事业《厚生新编》研究. 东京：东方书店,
,期待,"2016，田中牧郎，近代における「期待」の基本語化―雑誌コーパスによる記述― 国語語彙史の研究 (35),1-21",
,奇迹,"2012，千叶谦悟.近代中日词汇交流个例研究——“奇迹”词义的演变[J].日语学习与研究,2012(04)，12-20.",
,奇状,2024，安部清哉編著，日本語における漢語語基史と新漢語史のための基礎的調査研究――漢字・漢語の“気づかない近代化”――，学習院大学東洋文化研究所,
,企鹅,"2017，黄河清.“企鹅”探源[J].中国科技术语,2017,19(01):71-73.",
,启蒙运动,"2018，何平,曾祥裕.从概念史的角度看启蒙运动[J].社会科学文摘,2018(10):98-100.",
,,"2018，何平,曾祥裕.从概念史的角度看启蒙运动[J].史学理论研究,2018(03):61-70+158-159.",
,,"2022，张茜茹.从词语到概念：Lumières与“启蒙运动”[J].上海师范大学学报(哲学社会科学版),2022,51(06):132-142.",
,,2023，陈建守，如何启蒙，怎样运动：近代中国“启蒙运动”的概念史，中央研究院近代史研究所专刊，2023年12月,
,气,2012，谢弗，谭嗣同思想中的自然哲学、物理学与形而上学—一关千“气”与“以太＂的概念，载[德]郎宓榭 [德] 阿梅龙 [德] 顾有信 著 赵兴胜译《新词语新概念：西学译介与晚清汉语词汇之变迁》，济南：山东画报出版社，267-280,
,气管,2019，陳力衛，近代知の翻訳と伝播―漢語を媒介に，三省堂,
,气候,2018，荒川清秀，日中漢語の生成と交流・受容 : 漢語語基の意味と造語力，白帝社,
,气球,2015，杉本つとむ，江戸時代翻訳語の世界，八坂書房,
,气温计,2015，杉本つとむ，江戸時代翻訳語の世界，八坂書房,
,气象,"2020，間淵洋子，気象・気性，日本語学39卷2号，明治書院，64-67	",
,气压计,2015，杉本つとむ，江戸時代翻訳語の世界，八坂書房,
,器,2024，安部清哉編著，日本語における漢語語基史と新漢語史のための基礎的調査研究――漢字・漢語の“気づかない近代化”――，学習院大学東洋文化研究所,
,器官,2024，安部清哉編著，日本語における漢語語基史と新漢語史のための基礎的調査研究――漢字・漢語の“気づかない近代化”――，学習院大学東洋文化研究所,
,契约,2016，吉田慶子，日中における「契約」の使用と定着に関する一考察，或問，第29号，141-156,
,铅笔,2015，杉本つとむ，江戸時代翻訳語の世界，八坂書房,
,前后,2020，山際彰，内外（前後），日本語学39巻2号，明治書院，54-57,
,前列腺,2015，杉本つとむ，江戸時代翻訳語の世界，八坂書房,
,巧克力,2015，杉本つとむ，江戸時代翻訳語の世界，八坂書房,
,侵权行为,2013，屈文生，从词典出发 法律术语译名统一与规范化的翻译史研究，上海人民出版社,
,亲属,"2012，张亚飞.“亲属”概念在近代中国刑法文献中之变迁[J].人大法律评论,2012(01):204-220.",
,,"2012，张亚飞.“亲属”概念在近代中国民法文献中之变迁[J].兰州学刊,2012,No.225(06):170-177.",
,青年,"2007，孙海平,孙敬利.晚清“民”的发现与近代“青年”的诞生[J].山东理工大学学报(社会科学版),2007,No.97(06):80-82.",
,,2017，文苗. 近代中国“青年”概念的产生与流衍研究[D].湖南师范大学硕士论文,
,清凉剂,2015，杉本つとむ，江戸時代翻訳語の世界，八坂書房,
,清凉糖,2015，杉本つとむ，江戸時代翻訳語の世界，八坂書房,
,情报,2019，陳力衛，近代知の翻訳と伝播―漢語を媒介に，三省堂,
,情人,"2008，靳学军,陆海萍.“爱人”与“情人”——一字之差的日、汉语二字词浅析[J].山西农业大学学报(社会科学版),2008(03):287-289.",
,球拍,2015，杉本つとむ，江戸時代翻訳語の世界，八坂書房,
,取消,2007，沈阳. 关于汉语中的日语借词的考察[D].辽宁师范大学硕士论文,
,权,2019，沈国威，近代概念范畴的确立及其词化：以“权”为例，孙江主编：亚洲概念史研究（第5卷），商务印书馆，5-20,
,,2019，谷口知子，《万国公法》中right的译词：“权利”与“权”，孙江主编：亚洲概念史研究（第5卷），商务印书馆，21-39,
,,2024，安部清哉編著，日本語における漢語語基史と新漢語史のための基礎的調査研究――漢字・漢語の“気づかない近代化”――，学習院大学東洋文化研究所,
,权力,2012，鲁纳，中国政治话语中的“权力”与“权利”，载[德]郎宓榭 [德] 阿梅龙 [德] 顾有信 著 赵兴胜译《新词语新概念：西学译介与晚清汉语词汇之变迁》，济南：山东画报出版社，128-149,
,,"2021，童之伟.中文法学之“权力”源流考论[J].清华法学,2021,15(06):5-30.",
,权利,"1998，李贵连.话说“权利”[J].北大法律评论,1998(01):115-129.",
,,"2001，龚颖.“哲学”、“真理”、“权利”在日本的定译及其他[J].哲学译丛,2001(03):68-71.",
,,"2002，赵明.近代中国对“权利”概念的接纳[J].现代法学,2002(01):69-75.",
,,2003，李博（Wolfgang Lippert）著赵倩等译，汉语中的马克思主义术语的起源与作用，中国社会科学出版社,
